Runtime= 0.726219 s N=16777216, M=24
Runtime= 1.41539 s N=33554432, M=25
Runtime= 2.96072 s N=67108864, M=26
Runtime= 6.01292 s N=134217728, M=27
Runtime= 12.2804 s N=268435456, M=28
Runtime= 0.689303 s N=16777216, M=24
Runtime= 1.40799 s N=33554432, M=25
Runtime= 2.94542 s N=67108864, M=26
Runtime= 5.98765 s N=134217728, M=27
Runtime= 12.419 s N=268435456, M=28
Runtime= 0.737702 s N=16777216, M=24
Runtime= 1.50618 s N=33554432, M=25
Runtime= 2.93156 s N=67108864, M=26
Runtime= 5.96419 s N=134217728, M=27
Runtime= 12.3429 s N=268435456, M=28
Runtime= 0.758882 s N=16777216, M=24
Runtime= 1.47079 s N=33554432, M=25
Runtime= 2.9146 s N=67108864, M=26
Runtime= 6.06644 s N=134217728, M=27
Runtime= 12.3378 s N=268435456, M=28
Runtime= 0.696996 s N=16777216, M=24
Runtime= 1.43712 s N=33554432, M=25
Runtime= 2.97619 s N=67108864, M=26
Runtime= 6.0338 s N=134217728, M=27
Runtime= 12.4113 s N=268435456, M=28
---------------------------
Runtime= 25.364 s N=536870912, M=29
Runtime= 25.545 s N=536870912, M=29
---------------------------
Runtime= 122.008 s N=1073741824, M=30
